video_id,title,views,likes,comments,publish_days,subscribers
JyRxnHT4HDY,第一次卸妝給大家看,70699,1181,37,687,543000
dRSoKZM59nw,小社畜的地位，這樣決定電最少的永遠是贏家,21630,340,126,635,543000
tCbSd2ceoRQ,札幌鮭魚卵蓋飯加到滿的出來！,24985,0,11,692,543000
ufnMZWBKE2E,佳里 8 家「在地一級棒美食」！,38122,887,16,669,543000
OZXwLhutpZU,紀念一下首飛！！經過一個多月的課程終於起飛了🛫️,84847,3326,69,559,543000
jRHxRCKAKKQ,2025第一天！感謝自己2024成為一位絕對不只是說說的人！,3100,228,13,1,543000
1pnpVLs1WtY,韓國吃到飽AIRBNB 全部都免費！,62136,2032,33,442,543000
27SGNey_Osw,泛美公路啟程！首站德州「開飛機✈️」機師也有大學？聖安東尼 San Antonio 遊河｜Limit Trip Ep6,110040,1978,119,31,543000
3ny0Q57YhBI,超危險！開飛機✈️ 穿越瓜地馬拉火山！VIP 才能進去？吃爆瓜地馬拉！｜Limit Trip Ep13,80188,1696,83,7,543000
OMyxYjKBdeE,大家想看野溪溫泉開箱嗎？ 但現在好熱 哈哈哈哈            🌟 萩凹豆週年慶，露營用品滿2000折200，指定商品下殺9折！https://shp.ee/hdkyvuz,22053,411,11,562,543000
viVUzTkJBBQ,廢除時間？世界唯一沒時間的城市！挪威 Sommarøy夏日島！自己掌控生活｜Limit Trip Ep2,335885,6435,242,45,543000
C9bcrppk9GM,世界最北城市！禁止死亡？禁止出生？末日之都Longyearbyen 全世界免簽！北極斯瓦爾巴群島｜Limit Trip Ep4,268539,4914,192,38,543000
5zOZduKVdck,前往瓜地馬拉🇬🇹一個人過墨瓜關口！怎麼過關？差點被騙錢！聽說非常危險‼️｜Limit Trip Ep10,120714,2287,125,14,543000
wjaxEo5WrjQ,墨西哥亡靈節 🇲🇽 Mexico City 大遊行全記錄！差點禁止入城？迎接死去的人｜Limit Trip Ep8,145546,2941,152,21,543000
ziJrKU_Lu00,一個人前往墨西哥🇲🇽 穿越時空隧道！最神秘鬼城 Real de Catorce 這裡還有住人嗎？｜Limit Trip Ep7,146422,2733,162,24,543000
jOv7rpo7PiU,英國罰單！愈早繳錢愈便宜？一個人睡森林裡！自駕倫敦郊區 Maidstone 去看木乃伊？,106163,1713,86,129,543000
lo8MdBm1fPI,佛州最終章！划船竟然遇到鱷魚？自駕去找傳說中的海牛！Florida Gator ｜佛州 Vlog,95625,1692,70,136,543000
KeYRGsTAwhU,一個人來「挪威🇳🇴」Tromsø 3日大攻略！如何追北極光？神秘的薩米人？還有荒野漂水｜Limit Trip Ep3,188358,4309,220,42,543000
513vz7OWOZs,墨西哥神秘小鎮『奧里薩巴』Orizaba！被騙上山？纜車全停駛🥹｜Limit Trip Ep9,112041,2125,105,17,543000
qcNZLf4AEt0,終於找到這座島了！！島上根本沒人啊～ 千年榕樹  彩色墳墓小屋  山羊島主｜志志島,16491,256,36,1321,543000
PWX2Ff3A0m0,【最火團購】手工限量「阿仁牛嘎餅」，我最愛的雪Q餅超好吃！,13564,39,8,1967,543000
70zeNKjnV0A,誤入！美國鬧鬼劇院！真的聽到了….都是不安的靈魂，整座城市都在鬧鬼｜薩瓦納 Savannah,115186,1982,153,133,543000
9kGrT2gcAkI,全聯新品開箱｜社團 10 大必買實測！！超難吃茶葉蛋 差點噎死的糕，但這個也太好吃了吧！,98735,782,156,1319,543000
K5Co1wTx3bY,爬上最危險火山🌋Fuego瘋狂噴發！怎麼逃的下來？｜Limit Trip Ep11,118816,2400,112,12,543000
w3xStPRC43k,『波蘭商務艙』歐洲超划航空！五萬全程商務艙？甜點推車吃到飽😋空服員服務一級棒｜Limit Trip Ep5,208293,3053,163,35,543000
mbD8EHohYns,【雲林北港】5 家超佛心銅板美食，北部小孩沒吃過啊！,11844,81,15,2275,543000
TnKGxztqw5k,一個人來「馬爾地夫🇲🇻」真的不孤單嗎？馬利一日攻略！世界最美鈔票,164896,2554,159,59,543000
uRno0xlyVl0,【秘魯旅遊】祕魯8大主題景點，精華都在此 Episode 1,27225,187,15,2189,543000
RD2HjJceqlg,【 台北艋舺夜市】艋舺人吃到大 • 8 攤夜市小吃,70635,395,64,2313,543000
2giDQIucJiU,全世界最大金字塔！不是埃及？La Danta 藏在叢林裡！竟然要坐直升機進去？｜Limit Trip Ep12,97501,2030,120,10,543000
cNN-uM1WT-Q,象來聚餐｜蘆洲！熱量爆表「韓式餐酒館」四千卡絕對跑不掉，喝調酒配炸雞沾起司！！,11363,185,24,1540,543000
eUvJ-c7gHOw,12H 最狂夜衝！環半個台灣『桃園奔-墾丁』吃爆十家縣市宵夜！！,140411,1697,167,938,543000
vDw_sy7wwXA,11 個好市多推薦！小廚娘必買料理！便宜要命！第一名炸蝦排？完美親子丼 清燉牛肉湯 ft. Crockpot,117685,759,68,1151,543000
qXvx6SWAvaU,徒步環島｜27歲生日快樂～鹿野高台露營！！Day 17-18 玉里 - 池上 - 鹿野 | 小象出走中系列 #10,66586,811,61,1615,543000
IbbyUqjvPCc,【新竹】憑身分證「免費吃肉」，後四碼加起來多少送多少片，超萌小熊火鍋,15422,103,13,1669,543000
YhjRd2pZtpE,象來聚餐｜浮誇拉麵也要放「大龍蝦」平價拉麵只要 110 元！,10142,1801,6,1645,543000
4hiVm5N4G1Y,【人生必去 - 古埃及之旅】 開羅、吉薩、亞斯文、盧克索旅遊 Travel,26390,274,10,2566,543000
_JrLxlUrSqA,徒步環島｜重返西部！27天以來第一次一個人走全程 Day27-28 旭海-滿洲-恆春-車城｜ 小象出走中系列#15,57958,779,152,1599,543000
LlsS-AvmF9A,美國回台 ！！首選防疫旅館，平價高享受 咖啡喝到飽，餐餐皆驚喜 忘記訂防疫旅館就糟了？｜American Life,285188,3010,267,1239,543000
5lczx6GL4jk,神秘鬧鬼小鎮「墓碑鎮 Tombstone 」全鎮都活在 19 世紀的樣貌？｜USA Road Trip Ep 3,288750,3675,164,1060,543000
UWl0yn85wz0,【台中】只要499元吃到飽！韓式燒烤 40 多種吃法無限量供應～,25452,217,19,1683,543000
ZgYJMJ3-pcM,徒步環島｜逢甲觀光大使，第50天吃一天！Day50 逢甲｜小象出走中#25,46422,585,51,1569,543000
6UFXmuNvk28,"女機師開飛！紐西蘭開飛機？第一次載朋友飛上天✈️Wanaka 冰川 , 荒野大澡桶|紐西蘭 New Zealand Ep6",116041,2307,135,91,543000
3ew6FjDabC0,澳洲公路｜沙漠地下城 Coober Pedy 居民都住地下？跟髒螂一起住！神秘澳寶淘金,304807,4247,146,297,543000
We3hvcaUxv8,在地人才知道的百年「納氏草莓樂園」 比佛利真的都有錢人？｜American Life,105040,1299,90,1227,543000
6yEJxEqteJs,美國最大！NASA 總部看🚀火箭發射！奧蘭多必來景點！太空人吃這個？,119711,2031,92,189,543000
r4Z0O-dPpK8,奧克拉荷馬！8 大必玩必吃攻略～NBA 初體驗！入住學妹超巨豪宅？｜USA Road Trip Ep8,146886,2191,112,1045,543000
yYJE0lbktnw,美國都市傳說！Dirve Thru 幫後面買單！把快樂傳下去～ IN-N-OUT 速食龍頭的隱藏版！大家真的會接受嗎？｜America Road Trip EP19,159546,2705,121,971,543000
yVhYRbHLkao,馬祖莒光島｜馬祖私房景點公開「Hi 方塊海」我來了！【馬祖 Vlog #1】 Matsu Islands,17533,237,60,1626,543000
KU3z6ufo_Wo,【雲林美食】必吃 7 間銅板美食，南台灣太好吃啦！,15812,74,20,2285,543000
9Hx8p9wU_48,徒步環島｜序曲「小象出走中」為什麼我要徒步環島？2020/06/25 啟航,106795,1477,126,1664,543000
HyLZH82hHuk,『冰島商務艙』機上自己做調酒？超小座位！連餐具都不乾淨！便宜商務艙值得嗎？,135333,1954,118,157,543000
YbtPseUdc4Y,悲劇了！沒想到日本也能出錯？這次損失大了… 暴風雪來臨,470013,4022,228,637,543000
Wykh7EbL_tg,【宿霧旅遊VLOG】前往最神秘的小島！大吃加勒比海大蒸籠❤️ ｜ft.adamcutfilms,6165,77,3,2014,543000
mxV94-mIwbw,紐約快閃！36小時回味！蜘蛛人披薩🍕沈浸式Sleep No More？跑了三圈不過癮！,156446,2065,104,171,543000
KEQkDsuFH3Y,白沙屯進香｜要怎麼報名？有地方可以洗澡嗎？出發前要怎麼準備？ 萬人 QA 大解答 2022 白沙屯媽祖進香一起出發！！,131240,2350,245,1349,543000
6jVSLjvSIDc,挑戰！30歲一起跳 bungy Jump！入住黃色潛水艇？紐西蘭最酷Airbnb ｜紐西蘭 New Zealand Ep3,116520,2199,114,105,543000
eSJMkqhnj0k,流浪系列｜被陌生人帶回家？宜蘭秘境「神秘湖」差點看不到！｜金洋部落,42776,770,97,1484,543000
bhiHUEYq3-M,象來踢館｜評價只有3.9還能大排隊？！連鎖韓式  免費咖哩  吃到飽｜Xpark 新光影城餐廳,29778,306,23,1473,543000
KfdU-eBd0Gc,一個人快閃冰島🇮🇸 9小時噴這麼多錢？超可憐龍蝦湯….藍湖溫泉！差點火山噴發,215344,3108,147,154,543000
-KFJNLj-N7g,前往南島！開露營車上船？一次噴上萬元 😱 豪華艙酒水喝到飽？｜紐西蘭 New Zealand Ep4,116840,1816,119,101,543000
udjym77gvcc,象出去玩｜南投 8大借問站，南投一日玩什麼？不怕漏掉旅遊資訊～,12363,138,10,1596,543000
JzhSFgD8I5I,『荷蘭』新旅伴報到！吃爆8 樣美食～ 臭軟糖真的不行！尿尿小童排隊薯條、神秘巷弄披薩｜環球之旅 Netherlands,340101,4988,193,829,543000
30lpKOZIcS8,【三重美食】 帶學妹吃什麼，三重必吃 6 家甜點✨暑期限定，單身魯看過來,32452,423,63,1972,543000
y0ByFFpfWVY,象吃到飽｜台中迴轉火鍋吃到飽！這次我點巧克力和牛吃到飽啦～,40155,427,54,1519,543000
GvKz-rrn_Mc,今晚直接睡工廠？沙發 床組一次搞定！功能沙發、貓抓布、涼感布、獨立筒｜象姨姨買房瞜！,22016,238,42,1284,543000
TrMG6O7EFbg,美國公路結束了！回台灣被罰了 10000元？！將近四個月美加墨之旅 噴了 70 多萬～｜American Road Trip EP23,350031,8004,353,962,543000
pIxOA1akXmQ,獨自前往！薩爾瓦多🇸🇻 旅遊安全嗎？鐵血總統大改革！國民必吃PUPUSA ｜Limit Trip Ep15,8583,587,25,0,543000
-M-S1om2d-U,美國施打免費疫苗？不用預約？並不是每個藥局都有啊！！疫苗差別分析！該選擇哪個呢？｜American Life,76630,1129,213,1295,543000
9L0tbU_3UIE,迪士尼郵輪 Top 10 Secret ㊙️ 登船前必知！竟然全程沒網路？通關密語大公開！｜Disney Cruise Ep3,298616,5073,132,1011,543000
83ViT58HaIw,紐西蘭🇳🇿最終章！把露營車還了！被拋棄的小鎮？皇后鎮好多帥哥！Ice Bar開趴｜紐西蘭 New Zealand Ep7,91456,1565,90,87,543000
-RdXFVkg-1I,象吃到飽｜桃園『蒙古火鍋』無限吃到飽！！麻辣鍋噴火上場，只要550元吃到飽啊～～,12776,202,17,1533,543000
2eKQdtsMyIc,迪士尼王國！免費 Disney Drone Show！阿凡達完全沒排隊！納美人的食物 🍝 神秘落繩儀式,256568,3137,119,175,543000
KeKkvLv8Mmg,重返！一個人不孤單玩倫敦 🇬🇧 英國必吃早餐、哈利波特陳劇院、同志大遊行配雞排！,122300,2026,122,126,543000
9VUbnO5oPKk,再見莫斯科！被陌生人抓去當Model ？一個人逛聖誕樂園！全球最貴餐廳？S7超爛貴賓室｜俄羅斯EP3,250878,3977,182,346,543000
YZDqJfl_xCk,【台中】排隊也要吃雞排「惡魔島世界雞排」八國炸雞一次吃到！,18185,218,14,1694,543000
cNDzeYpu1sM,【師大夜市】學妹吃什麼，師大 6 間美食✨暑期限定，單身魯看過來,14511,152,21,1960,543000
GFvGFWkuXPE,獨自前往『古巴』美洲唯一的共產國家！換錢都走黑市？一間超市也找不到.......｜環球之旅 Cuba,428818,5445,219,795,543000
rf37uVd1D6U,東俄羅斯！最冷的城市『irkutsk 』竟然都沒有人？前往 Olhkon 島｜俄羅斯 EP4,186270,2979,126,332,543000
O0Jnyz6r1rY,免費搭商務艙？經濟SkyCouch VS 豪華商務艙！魚骨式包廂！經濟艙能躺平？｜紐西蘭航空 Air New Zealand,155683,2169,120,115,543000
DdQQCdBOCM0,阿曼蘇丹國？一個人自駕！入境就被攔了🥲高溫50度沒觀光客想來？｜Birthday Trip Ep3,273193,4564,368,507,543000
28zcPV8tyeg,一個人「邁阿密」？陽光沙灘Vlog ！舒服大太陽🌞 第一名甜甜圈！調酒冰淇淋？最佳漢堡包,132445,2190,104,199,543000
s12IEVvXTGs,台灣免簽取消！如何辦薩爾瓦多簽證？史上難處理！🇸🇻 瓜薩陸路通關｜Limit Trip Ep14,105733,1867,131,3,543000
8ZNEHPOyO0E,【HongKong 香港】深度美食之旅，15 家香港必吃不可錯過！,17334,134,10,2278,543000
