video_id,title,views,likes,comments,publish_days,subscribers
FgLkUspIsL0,全職獵人405話完整解說：西索本尊現身，旅團黑幫皆有行動,256441,2960,504,35,261000
Fy_bHNbWdRU,拳叔講哆啦A夢：哆啦A夢把房子變身無敵列車頭！開著房子去兜風！,154404,1217,31,1849,261000
61fYLew16O8,臥底名單洩露，庫拉索的選擇，柯南劇場版20 純黑的噩夢解說,77427,653,69,319,261000
SHyMV8kt3F0,獵人解說2:少數服從多數的陷阱，西索的放養計劃,239759,1263,150,1053,261000
Htyr-4aOqe0,一反常态的基德，解救业火中的向日葵，柯南剧场版19解说,71886,557,64,325,261000
3L97GdpRfmk,🏀,23026,490,32,848,261000
mfZCP0mWAcY,美食獵人解說37：金之主廚吉集現身，眾人分道揚鑣,54094,507,71,607,261000
-g4cZKqvyi8,全職獵人408話討論：卡丁與墨蓮娜,54328,728,149,8,261000
hcuSnYbEXZU,全職獵人406話完整解說：團長盯上卡丁三大神器，送葬開始,132548,1824,387,28,261000
1BQ_LWYC0ss,参加成都农博会带上四伯和伯娘，在现场做了个冷吃兔，大家都很喜欢！,85762,1303,230,1885,2120000
kzWiPSgEKxQ,厨师长教你“咸蛋”的正宗做法，史上最有质量的解说，先收藏起来,917903,10640,637,2481,2120000
2hvQFxZBTVY,厨师长教你“西红柿炒蛋”的做法，美味多汁，先收藏起来,3459486,34896,2061,2405,2120000
9HbErcNKAIk,厨师长教你：“炝炒土豆丝” “酸辣土豆丝” 的家常做法，爽脆可口，先收藏起来,1522080,15542,815,2333,2120000
hnWyEQzKdMs,厨师长教你：“洋葱炒鸡蛋”的酒店做法，蛋香浓郁，简单下饭,414143,6541,273,790,2120000
8kz-0edWRwk,厨师长教你：“油焖大虾” 的正宗做法，高清重置版，味美鲜香,2152880,17731,1011,2362,2120000
x6_aDVi4_uY,厨师长教你“凉拌青瓜（黄瓜）”的做法，以前做的不好吃原来是少了这一步,885051,6693,310,2472,2120000
Gg6rw_K0zgw,厨师长教你：“豆角烧排骨”“豆角土豆炖排骨”，荤素搭配，汁浓味美,158024,3292,190,839,2120000
Vi8NNCnRxeo,厨师长教你：“小炒杏鲍菇”“杏鲍菇炒五花肉”，做法简单，美味下饭,203352,3990,107,784,2120000
nQnNtpmM6ME,厨师长教你：“擂椒皮蛋”“擂烧辣椒皮蛋”，香辣下饭，吃一次就上瘾,76487,1732,120,148,2120000
WJixf4fL0BY,厨师长教你一道家常菜：“手撕包菜”，很全面的讲解,1138139,10599,631,2385,2120000
2O_9wV5LNd8,厨师长教你：“山药炒木耳”的家常做法，清爽解腻，营养美味,226809,4335,157,1132,2120000
EKa_Yx1K6F4,厨师长教你：“羊肉汤”“炖羊排”，汤鲜肉香，不膻不腻的香料分享,90810,2267,153,15,2120000
f-dE0YBGQt0,厨师长教你：“三杯鸡”的家常做法，汁香味浓，鲜嫩爽滑，特别下饭,438653,8066,603,1165,2120000
X3MyQUEQ5Wo,厨师长教你：四川“担担面”的家常做法，麻辣鲜香，爽滑劲道,421350,9544,417,1190,2120000
Y3matUe2LIY,厨师长教你：“酸豆角炒肉末”“烂肉豇豆”，简单易学，下饭一绝,107998,2012,135,634,2120000
mQ_2W5zUd44,厨师长教你：“酸辣汤”的家常做法，鲜香暖胃，增加食欲助消化,270142,5460,355,1106,2120000
o0gx_J1MJ-Q,厨师长教你：年菜“回锅肉”的家庭小灶做法，简单方便，在家做出饭店的味道（竖屏版，手机观看效果最佳）,421086,8487,314,2138,2120000
5jUHNVtbdlc,厨师长教你一道家常菜：“葱爆猪肝”正宗做法，先收藏起来,2014648,16528,720,2403,2120000
-NTkOK-jg3M,厨师长教你：“麻酱白菜” “乾隆白菜”，香甜爽脆，第一国风蔬菜沙拉,67388,1447,194,164,2120000
eCaoENF9y6U,厨师长教你：东北菜 “锅包肉” 的正宗做法 (高清重置版)，酥脆可口，特别好吃,894009,8160,1066,2281,2120000
xgW3UWmoP34,厨师长教你：东北老菜“拔丝鸡蛋”“拔丝白果”“酥黄菜”，经典传统菜,79880,1727,118,228,2120000
vojPj5eS8uI,厨师长教你：“糖醋里脊”的老式经典做法，酸甜可口，小孩最爱,348918,7038,358,1196,2120000
OTGC2Rk8qjA,厨师长教你：“红烧猪蹄”的家常做法，色泽红亮，软糯脱骨,332348,5977,256,1146,2120000
TDWG-pCFiAY,厨师长教你：“茄汁糖醋里脊”的做法，酸甜酥脆，小孩子的最爱,54434,1472,89,50,2120000
9Rljt9sZTyQ,厨师长教你：“韭菜炒蛋” 的少油做法，美味又简单，大家学起来,675025,6132,441,2323,2120000
